physid,firstdepyr,lastdepyr,SPECIALTY,MEDCTR,MSA,ENCCT
1,2009,2010,"Surgery, General",2000 PHYSICIANS PLAZA MED OFF U,KERN COUNTY MED CENTER AREA,2886
1,2010,2010,"Surgery, General",STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,18
1,2010,2011,"Surgery, General",CHESTER AVE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,1692
2,2009,2009,"Surgery, General",SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,54
2,2009,2009,"Surgery, General",VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,138
3,2004,2006,Family Practice,BARRANCA MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,6981
3,2005,2006,Family Practice,BREA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,28
3,2005,2012,Family Practice,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,895
3,2005,2019,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,518
3,2005,2020,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,1621
3,2006,2013,Family Practice,ANAHEIM HILLS MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,23813
3,2006,2019,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,157
3,2007,2020,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,824
3,2008,2019,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,165
3,2010,2019,Urgent Care,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,103
3,2013,2020,Family Practice,YORBA LINDA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,24072
5,2011,2020,Family Practice,EAST LOS ANGELES MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,31708
5,2016,2019,Family Practice,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,14
6,2004,2007,Internal Medicine,NORTHSIDE MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,111
6,2004,2019,Internal Medicine,ERWIN STREET MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,45999
6,2005,2006,Internal Medicine,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,72
6,2006,2020,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,3776
6,2015,2019,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,852
