physid,MSOC_SCHL_SPCLT_TX,MSOC_DGR_ERN_TX,MSOC_TYP_TX,MSOC_YR_RCVD_TX,MSOC_BRD_NM,MSOC_CERT_YR_TX
1,,MD,Medical education,1995,,
1,Bariatric Surgery/MIS/Adv. Laparoscopic procedures,,Fellowship,2009,American Board of Surgery,2007
2,,DO,Medical education,2004,,
3,,MD,Medical Education,1998,American Board of Family Medicine,2002
4,,MD,Medical Education,1985,American Board of Internal Medicine,1988
5,,MD,Medical Education,2007,,
5,Family Medicine,,Residency,2011,American Board of Family Medicine,2012
6,Doctor of Medicine,MD,Medical Education,2001,American Board of Internal Medicine,2004
7,,MD,Medical Education,1980,American Board of Family Medicine,1983
8,,MD,Medical Education,1988,American Board of Family Medicine,1991
9,,MD,Medical Education,2006,,
9,General Surgery,,Residency,2012,American Board of Surgery,2013
10,,MD,Medical Education,1986,American Board of Internal Medicine,1989
11,,MD,Medical Education,1998,American Board of Internal Medicine,2010
11,Internal Medicine,,Residency,2007,American Board of Internal Medicine,2010
11,Medical Oncology,,Fellowship,2010,American Board of Internal Medicine,2007
12,,MD,Medical Education,2005,American Board of Internal Medicine,2008
13,,MD,Medical Education,1985,American Board of Family Medicine,1988
14,,MD,Medical education,2003,,
15,,DO,Medical Education,2003,,
15,Internal Medicine,,Internship,2004,Am Osteo Board of Internal Medicine,2006
16,,DO,Medical Education,2008,,
16,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2018
17,,MD,Medical Education,2008,,
17,Family Medicine,,Residency,2011,American Board of Family Medicine,2012
18,,MD,Medical Education,1983,American Board of Internal Medicine,1988
18,Internal Medicine,,Residency,1988,American Board of Internal Medicine,1994
19,,MD,Medical Education,1999,American Board of Internal Medicine,2008
19,Internal Medicine,,Residency,2002,American Board of Internal Medicine,2002
20,,MD,Medical Education,1988,American Board of Family Medicine,1991
22,,MD,Medical Education,2005,American Board of Internal Medicine,2009
25,,MD,Medical Education,1980,American Board of Internal Medicine,1983
26,,MD,Medical Education,1971,American Board of Internal Medicine,2000
26,General Medicine,,Internship,1972,American Board of Internal Medicine,1975
27,,MD,Medical Education,2002,,
27,Internal Medicine,,Residency,2006,American Board of Internal Medicine,2006
28,,MD,Medical Education,1989,,
28,Internal Medicine,,Internship,1993,American Board of Internal Medicine,1995
31,,MD,Medical Education,1993,American Board of Family Medicine,2006
33,,MD,Medical Education,2002,American Board of Internal Medicine,2011
34,,,Residency,2011,American Board of Internal Medicine,2015
34,,MD,Medical Education,2008,American Board of Internal Medicine,2015
34,Internal Medicine,,Chief Resident,2012,American Board of Internal Medicine,2011
35,Family Medicine,,Residency,2001,American Board of Family Medicine,2001
37,,MD,Medical Education,2004,,
37,Obstetrics and Gynecology,,Internship,2005,American Board of Emergency Medicine,2009
38,,MD,Medical Education,1994,American Board of Emergency Medicine,2005
39,,DO,Medical Education,2004,,
39,Family Medicine,,Internship,2005,American Board of Family Medicine,2007
40,,MD,Medical education,1980,American Board of Internal Medicine,1983
41,,NP,Medical education,,,
41,,NP,Medical education,1995,,
42,,MD,Medical Education,1998,American Board of Internal Medicine,2007
43,,MD,Medical Education,2001,American Board of Internal Medicine,2008
43,Hematology and Oncology,,Fellowship,2007,American Board of Internal Medicine,2007
43,Internal Medicine,,Residency,2004,American Board of Internal Medicine,2004
44,Family Medicine,NP,Professional Education,2014,American Academy of Nurse Practitioner Certificati,
47,,MD,Medical Education,2003,,
47,Obstetrics and Gynecology,,Internship,2004,American Board of Family Medicine,2007
48,,MD,Medical Education,1995,,
48,Internal Medicine,,Internship,2007,American Board of Internal Medicine,2009
49,,MD,Medical Education,2002,,
49,Gastroenterology,,Fellowship,2010,American Board of Internal Medicine,2010
49,Internal Medicine,,Residency,2007,American Board of Internal Medicine,2007
50,,MD,Medical Education,2001,,
50,Family Medicine,,Internship,2008,American Board of Family Medicine,2010
51,,DO,Medical Education,2004,Am Osteo Board of Emergency Medicine,2010
53,,MD,Medical Education,1997,American Board of Internal Medicine,2000
54,,MD,Medical Education,2007,,
54,Obstetrics and Gynecology,,Internship,2008,American Board of Obstetrics and Gynecology,2014
55,,DO,Medical Education,1993,Am Osteo Board of Family Physicians,1996
56,,MD,Medical Education,1987,American Board of Internal Medicine,1990
57,,MD,Medical Education,1993,American Board of Surgery,1995
58,,MD,Medical Education,2001,,
58,Gynecology Oncology,,Fellowship,2010,American Board of Obstetrics and Gynecology,2012
58,Obstetrics and Gynecology,,Residency,2005,American Board of Obstetrics and Gynecology,2007
59,,MD,Medical Education,2002,American Board of Dermatology,2008
61,,DO,Medical Education,1998,American Board of Family Medicine,2001
62,,MD,Medical Education,1998,American Board of Emergency Medicine,2003
63,,MD,Medical education,1972,American Board of Internal Medicine,1986
63,Internal Medicine,,Residency,1986,American Board of Internal Medicine,1989
63,Rotating,,Internship,1974,American Board of Internal Medicine,1992
64,,DO,Medical Education,1984,American Board of Family Medicine,1991
65,,MD,Medical education,1993,American Board of Obstetrics and Gynecology,1999
66,,MD,Medical Education,1984,American Board of Internal Medicine,1987
67,,MD,Medical Education,1991,American Board of Family Medicine,1994
68,,MD,Medical Education,1983,American Board of Otolaryngology-Head and Neck Sur,1988
68,Neurotology-Skull Base Surgery,,Fellowship,1990,American Board of Otolaryngology-Head and Neck Sur,2004
69,,MD,Medical Education,1996,American Board of Internal Medicine,1999
71,Internal Medicine,,Residency,1970,American Board of Physical Medicine and Rehab,1977
72,,MD,Medical Education,1995,American Board of Internal Medicine,1998
74,,MD,Medical Education,1982,,
74,General Surgery,,Residency,1987,American Board of Surgery,1990
75,,MD,Medical Education,2003,American Board of Internal Medicine,2006
75,Internal Medicine,,Residency,2006,American Board of Internal Medicine,2017
76,,PA,Professional Education,1985,,
81,,MD,Medical Education,1997,American Board of Internal Medicine,2007
82,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2009
84,,MD,Medical Education,2008,American Board of Colon and Rectal Surgery,2015
84,General Surgery,,Residency,2013,American Board of Surgery,2014
85,,MD,Medical Education,1987,American Board of Family Medicine,1990
86,,MD,Medical Education,2007,,
86,General Surgery,,Residency,2012,American Board of Surgery,2013
87,,MD,Medical Education,1997,American Board of Family Medicine,2000
88,,MD,Medical Education,1998,American Board of Family Medicine,2001
89,,MD,Medical Education,1993,American Board of Urology,2003
90,,MD,Medical Education,1991,American Board of Surgery,1997
91,,MD,Medical Education,1998,American Board of Surgery,2005
92,,MD,Medical Education,2001,,
92,Gastroenterology,,Fellowship,2008,American Board of Internal Medicine,2008
92,Internal Medicine,,Residency,2004,American Board of Internal Medicine,2004
93,,MD,Medical Education,1993,American Board of Emergency Medicine,1998
95,,MD,Medical Education,2001,American Board of Internal Medicine,2004
96,,MD,Medical Education,1994,American Board of Family Medicine,1997
97,,MD,Medical Education,1985,American Board of Surgery,1993
98,Family Practice,,Residency,2005,American Board of Family Medicine,2005
99,,MD,Medical Education,1988,American Board of Urology,1996
100,,MD,Medical Education,1985,American Board of Internal Medicine,1991
100,Gastroenterology,,Fellowship,1990,American Board of Internal Medicine,1988
101,,MD,Medical Education,1994,American Board of Internal Medicine,1997
102,Gastroenterology,,Fellowship,1990,American Board of Internal Medicine,1989
102,Internal Medicine,,Residency,1987,American Board of Internal Medicine,1987
103,,MD,Medical Education,2000,American Board of Internal Medicine,2007
104,,B.S,Professional Education,1975,,
104,,Master Nursing,Professional Education,1983,,
104,Nurse Midwife,Nurse Midwifer,Professional Education,1994,,
105,,MD,Medical Education,2002,American Board of Family Medicine,2008
106,,MD,Medical Education,2006,,
106,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
107,Internal Medicine,,Residency,2000,American Board of Internal Medicine,2000
108,,MD,Medical Education,1997,American Board of Internal Medicine,2001
109,Nursing,MS,Professional Education,2006,National Commission on Certification of Physician,
110,,MD,Medical Education,2003,,
110,General Surgery,,Internship,2004,American Board of Surgery,2010
111,,MD,Medical education,2006,American Board of Internal Medicine,2010
112,,MD,Medical Education,2001,,
112,Internal Medicine-Pediatrics,,Internship,2002,American Board of Internal Medicine,2005
112,Internal Medicine-Pediatrics,,Residency,2005,American Board of Pediatrics,2005
113,,MD,Medical Education,1982,American Board of Internal Medicine,1988
113,Internal Medicine,,Internship,1983,American Board of Internal Medicine,1994
114,,MD,Medical Education,1987,American Board of Surgery,1993
115,,MD,Medical Education,1997,American Board of Internal Medicine,2001
116,,MD,Medical Education,2010,,
116,Endoscopy,MD,Fellowship,2017,American Board of Internal Medicine,2016
116,Gastroenterology,,Fellowship,2016,American Board of Internal Medicine,2013
117,,MD,Medical Education,1991,American Board of Surgery,1997
118,,MD,Medical Education,1987,American Board of Internal Medicine,2002
118,Hematology/Oncology,,Fellowship,2002,American Board of Internal Medicine,1995
118,Internal Medicine,,Residency,1997,American Board of Internal Medicine,2003
119,,MD,Medical Education,1992,American Board of Internal Medicine,1995
120,,MD,Medical Education,2005,,
120,Gynecologic Oncology,,Fellowship,2012,American Board of Obstetrics and Gynecology,2016
120,Obstetrics and Gynecology,,Residency,2009,American Board of Obstetrics and Gynecology,2014
121,,MD,Medical Education,2008,American Board of Family Medicine,2011
123,,MD,Medical Education,2005,,
123,Gastroenterology,,Fellowship,2011,American Board of Internal Medicine,2008
123,Internal Medicine,,Residency,2008,American Board of Internal Medicine,2011
124,,MD,Medical Education,1999,American Board of Family Medicine,2002
126,,MD,Medical Education,1988,,
127,,PA Certificate,Professional Education,2001,National Commission on Certification of Physician,
128,,MD,Medical Education,1994,American Board of Internal Medicine,2003
129,,MD,Medical Education,2004,,
129,Gastroenterology,,Fellowship,2011,American Board of Internal Medicine,2007
129,Internal Medicine,,Residency,2007,American Board of Internal Medicine,2011
130,,MD,Medical Education,1995,American Board of Surgery,2004
131,,MD,Medical Education,1987,,
132,,MD,Medical education,1973,American Board of Internal Medicine,1976
132,Internal Medicine,,Internship,1974,American Board of Internal Medicine,1981
133,Bachelor of Science,BS,Medical education,,,
133,Physician Assistant Studies,PA Certificate,Medical education,2001,,
134,,DO,Medical Education,2011,,
134,Internal Medicine,,Internship,2012,Am Osteo Board of Internal Medicine,2014
136,,MSN,Professional Education,2003,,
137,,MD,Medical Education,2000,,
137,Internal Medicine,,Internship,2001,American Board of Internal Medicine,2003
137,Internal Medicine,,Residency,2003,American Board of Internal Medicine,2006
138,Internal Medicine,MD,Medical Education,2002,American Board of Internal Medicine,2005
139,,MD,Medical Education,1994,American Board of Internal Medicine,1997
139,Internal Medicine,,Residency,1997,American Board of Internal Medicine,2006
140,,,Medical Education,1993,American Board of Family Medicine,1998
140,,MD,Medical Education,1995,,
141,,MD,Medical Education,2002,American Board of Internal Medicine,2008
141,Hematology and Oncology,,Fellowship,2008,American Board of Internal Medicine,2008
141,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2005
142,,DO,Medical Education,2007,,
142,Internal Medicine,,Residency,2010,American Board of Internal Medicine,2010
144,,MD,Medical Education,2011,,
144,Internal Medicine,,Residency,2014,American Board of Internal Medicine,2014
145,,MD,Medical Education,1997,American Board of Family Medicine,2000
148,,MD,Medical Education,1976,,
150,,MD,Medical Education,1988,,
150,Gastroenterology,,Fellowship,1993,American Board of Internal Medicine,1991
150,Internal Medicine,,Residency,1991,American Board of Internal Medicine,1993
152,,MD,Medical Education,1987,American Board of Internal Medicine,2002
152,Internal Medicine,,Internship,2000,American Board of Internal Medicine,2005
153,,MD,Medical Education,2004,,
153,General Surgery,,Internship,2005,American Board of Surgery,2010
154,,MD,Medical/Professional Educ,2012,,
155,,MD,Medical Education,1997,American Board of Internal Medicine,2000
156,,MD,Medical Education,2007,,
