physid,birth_yr,employment_yr,termination_yr,female,ETHNICITY,JOB_TITLE,firstencyr,lastencyr,encyrs,PATCT,patperyr
1,1962,2009,2011,0,ASIAN,GENERAL SURGEON,2009,2011,3,2004,668
2,1974,2009,2009,1,,,2009,2009,1,175,175
3,1967,2002,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,16800,988.23529412
4,1958,1988,2019,0,WHITE,INTERNIST,,,,,
5,1976,2011,,1,HISPAN,FAMILY PRACTICE SPECIALIST,2011,2020,10,9786,978.6
6,1974,2004,,1,ASIAN,INTERNIST,2004,2020,17,15224,895.52941176
7,1954,1981,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,10842,637.76470588
8,1958,1989,2017,1,WHITE,FAMILY PRACTICE SPECIALIST,2004,2016,13,7710,593.07692308
9,1981,2013,,0,ASIAN,COLORECTAL SURGEON,2013,2020,8,3317,414.625
10,1947,1990,2019,1,WHITE,IM HOSPITALIST,2004,2014,11,2581,234.63636364
11,1974,2016,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2016,2020,5,1161,232.2
12,1979,2008,,1,WHITE,IM HOSPITALIST,2008,2019,12,2732,227.66666667
13,1959,1987,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,7078,416.35294118
14,1977,2012,2013,1,ASIAN,GENERAL SURGEON,2012,2012,1,48,48
15,1973,2009,,0,ASIAN,IM HOSPITALIST,2009,2010,2,71,35.5
16,1976,2011,,0,ASIAN,IM HOSPITALIST,,,,,
17,1981,2010,2019,1,HISPAN,FAMILY PRACTICE SPECIALIST,2008,2017,10,6700,670
18,1959,1988,,0,ASIAN,INTERNIST,2004,2020,17,6954,409.05882353
19,1972,2002,,0,ASIAN,"GERIATRICS,PALLIATIVE&CONTCARE",2004,2019,16,635,39.6875
20,1961,2006,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2006,2020,15,19180,1278.6666667
21,1965,2002,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3084,181.41176471
22,1972,2008,,0,WHITE,IM HOSPITALIST,,,,,
23,1968,2004,,1,HISPAN,LVL V SR RN-CLINIC Y1,2009,2020,12,2895,241.25
24,1984,,2017,0,,,2015,2015,1,55,55
25,1954,1985,,0,WHITE,INTERNIST,2004,2020,17,13627,801.58823529
26,1946,2001,2014,0,WHITE,GASTROENTEROLOGIST,2004,2013,10,8732,873.2
27,1976,2011,,0,ASIAN,INTERNIST,2011,2020,10,8277,827.7
28,1962,2017,,0,ASIAN,INTERNIST,2017,2020,4,5933,1483.25
29,1972,2010,,0,ASIAN,INFECTIOUS DISEASE SPECIALIST,2010,2020,11,1406,127.81818182
30,1982,2015,2016,1,WHITE,RESIDENT PHYSICIAN,2016,2016,1,15,15
31,1971,2007,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2007,2020,14,23562,1683
32,1975,2009,2011,0,,,2009,2011,3,114,38
33,1970,2005,,0,WHITE,INTERNIST,2005,2020,16,23066,1441.625
34,1982,2015,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2014,2020,7,1664,237.71428571
35,1965,1999,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,13742,808.35294118
36,1972,2003,,0,WHITE,PHYSICIAN ASST II,2004,2020,17,4209,247.58823529
37,1977,2009,,1,WHITE,EMERGENTOLOGIST,2018,2020,3,830,276.66666667
38,1960,1998,,0,BLACK,EMERGENTOLOGIST,2015,2020,6,6070,1011.6666667
39,1976,2007,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2007,2020,14,23110,1650.7142857
40,1954,1983,2012,0,WHITE,INTERNIST,2004,2012,9,3720,413.33333333
41,1952,1999,2012,1,WHITE,NURSE PRACTITIONER Y6,2004,2012,9,3316,368.44444444
42,1974,2007,,1,WHITE,INTERNIST,2007,2020,14,15403,1100.2142857
43,1975,2007,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2007,2020,14,3566,254.71428571
44,1985,2011,,1,,NURSE PRACTITIONER II,2016,2020,5,3723,744.6
45,1977,,2019,1,ASIAN,,2007,2012,6,719,119.83333333
46,1981,,2014,1,,,2013,2014,2,162,81
47,1975,2012,,0,ASIAN,FAMILY MEDICINE,2012,2020,9,11601,1289
48,1970,2009,,1,ASIAN,IM HOSPITALIST,2010,2010,1,17,17
49,1976,2015,,0,WHITE,GASTROENTEROLOGIST,2015,2020,6,4885,814.16666667
50,1976,2010,2013,1,ASIAN,FAMILY PRACTICE SPECIALIST,2010,2013,4,5780,1445
51,1977,2008,,0,WHITE,EMERGENTOLOGIST,2010,2019,10,2132,213.2
52,1972,,2011,0,,,2010,2010,1,78,78
53,1970,2000,,0,ASIAN,INTERNIST,2004,2020,17,13095,770.29411765
54,1969,2010,,0,ASIAN,OBSTETRICIAN GYNECOLOGIST,2007,2020,14,5572,398
55,1950,1998,,0,WHITE,URGENT CARE SPECIALIST,2004,2020,17,25195,1482.0588235
56,1958,1991,,0,ASIAN,INTERNIST,2004,2020,17,7246,426.23529412
57,1951,1988,,0,WHITE,GENERAL SURGEON,2004,2020,17,7896,464.47058824
58,1974,2010,,0,ASIAN,GYNECOLOGIC ONCOLOGIST,2010,2020,11,2454,223.09090909
59,1977,2008,2018,0,ASIAN,DERMATOLOGIST,2008,2018,11,10151,922.81818182
60,1961,2001,,0,WHITE,SURGERY VASCULAR,2004,2020,17,9323,548.41176471
61,1971,2001,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,15336,902.11764706
62,1971,2002,,0,ASIAN,EMERGENTOLOGIST,,,,,
63,1947,1987,2013,0,ASIAN,,2004,2012,9,2060,228.88888889
64,1956,1990,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,19590,1152.3529412
65,1969,1997,2012,1,ASIAN,OBSTETRICIAN GYNECOLOGIST,2004,2012,9,2509,278.77777778
66,1957,1989,,1,WHITE,INTERNIST,2004,2020,17,8767,515.70588235
67,1962,1994,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,18500,1088.2352941
68,1957,1992,,0,HISPAN,HEAD & NECK SURGEON-SKULL BASE,2004,2020,17,8042,473.05882353
69,1971,1999,,1,ASIAN,IM HOSPITALIST,2004,2019,16,1908,119.25
70,1978,2010,2011,1,WHITE,RESIDENT PHYSICIAN,2010,2011,2,104,52
71,1942,1972,,0,WHITE,PHYSIATRIST,2004,2019,16,9281,580.0625
72,1969,1998,,0,ASIAN,INTERNIST,2004,2020,17,13468,792.23529412
73,1977,2008,,1,ASIAN,INTERNIST,2008,2020,13,10292,791.69230769
74,1957,1990,,0,WHITE,GENERAL SURGEON,2004,2020,17,5426,319.17647059
75,1976,2006,,0,ASIAN,IM HOSPITALIST,,,,,
76,1955,1989,2018,0,HISPAN,PHYSICIAN ASST II,2004,2018,15,17330,1155.3333333
77,1972,2004,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,18156,1068
78,1976,2003,,0,ASIAN,IM HOSPITALIST,2004,2018,15,830,55.333333333
79,1983,,2015,1,,,2014,2014,1,35,35
80,1976,2012,2013,1,ASIAN,RESIDENT PHYSICIAN,2012,2013,2,133,66.5
81,1971,2007,,0,WHITE,IM HOSPITALIST,,,,,
82,1975,2009,,1,ASIAN,INTERNIST,2009,2020,12,11879,989.91666667
83,1967,2008,,1,ASIAN,IM PULMONARY TRANSPLANT,2008,2020,13,2414,185.69230769
84,1982,2014,,0,ASIAN,COLORECTAL SURGEON,2008,2020,13,2384,183.38461538
85,1959,1990,,1,WHITE,FAMILY PRACTICE SPECIALIST,2009,2020,12,28937,2411.4166667
86,1980,2012,2015,0,WHITE,GENERAL SURGEON,2012,2015,4,2345,586.25
87,1972,1999,,0,HISPAN,URGENT CARE SPECIALIST,2004,2020,17,28959,1703.4705882
88,1971,2003,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,26271,1545.3529412
89,1965,2002,,0,WHITE,UROLOGIST,2004,2020,17,5051,297.11764706
90,1965,2003,,0,WHITE,GENERAL SURGEON,2004,2020,17,12552,738.35294118
91,1972,2001,,0,WHITE,SURGERY GENERAL,2004,2020,17,5851,344.17647059
92,1974,2009,,0,WHITE,GASTROENTEROLOGIST,2005,2020,16,12836,802.25
93,1965,1996,,0,ASIAN,EMERGENTOLOGIST,2015,2020,6,811,135.16666667
94,1989,,,0,,,,,,,
95,1973,2003,,0,ASIAN,IM HOSPITALIST,2005,2020,16,2425,151.5625
96,1968,1997,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,13748,808.70588235
97,1956,1987,,0,WHITE,GENERAL SURGEON,2004,2020,17,7913,465.47058824
98,1971,2005,,0,WHITE,FAMILY PRACTICE SPECIALIST,2005,2020,16,17874,1117.125
99,1961,1994,,0,HISPAN,UROLOGIST,2004,2020,17,9417,553.94117647
100,1959,1990,,1,ASIAN,GASTROENTEROLOGIST,2004,2020,17,14204,835.52941176
101,1966,1997,,0,WHITE,IM HOSPITALIST,2004,2017,14,7580,541.42857143
102,1958,1990,,0,WHITE,GASTROENTEROLOGIST,2004,2020,17,15914,936.11764706
103,1973,2006,,1,ASIAN,INTERNIST,2006,2020,15,16206,1080.4
104,1953,1998,2016,1,WHITE,CERT NURSE MIDWIFE,2004,2016,13,5685,437.30769231
105,1972,2008,,1,BLACK,FAMILY PRACTICE SPECIALIST,2007,2020,14,15830,1130.7142857
106,1982,2017,,1,ASIAN,INTERNIST,2017,2020,4,6418,1604.5
107,1971,2011,,0,WHITE,INTERNIST,2011,2020,10,6391,639.1
108,1955,2000,,0,WHITE,INTERNIST,2004,2020,17,13052,767.76470588
109,1964,2001,,0,HISPAN,NURSE PRACTITIONER II,2004,2020,17,18374,1080.8235294
110,1976,2007,,1,ASIAN,GENERAL SURGEON,2006,2020,15,5542,369.46666667
111,1977,2012,2013,1,ASIAN,,2006,2011,6,385,64.166666667
112,1976,2010,,1,ASIAN,INTERNIST,2010,2020,11,7540,685.45454545
113,1955,1990,2014,1,WHITE,INTERNIST,2004,2014,11,6106,555.09090909
114,1960,1992,,0,WHITE,GENERAL SURGEON,2004,2020,17,9622,566
115,1969,2000,,0,HISPAN,INTERNIST,2004,2020,17,13465,792.05882353
116,1984,2017,,1,ASIAN,GASTROENTEROLOGIST,2017,2020,4,2581,645.25
117,1963,1998,,0,HISPAN,GENERAL SURGEON,2004,2020,17,7282,428.35294118
118,1964,2004,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,4881,287.11764706
119,1965,1995,,0,ASIAN,INTERNIST,2004,2020,17,7194,423.17647059
120,1976,2019,,1,WHITE,GYNECOLOGIC ONCOLOGIST,2008,2020,13,601,46.230769231
121,1979,2011,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2011,2020,10,14232,1423.2
122,1972,2005,,1,ASIAN,INTERNIST,2005,2020,16,9076,567.25
123,1979,2011,,1,ASIAN,GASTROENTEROLOGIST,2011,2020,10,7615,761.5
124,1972,2002,,1,WHITE,FAMILY MEDICINE,2004,2020,17,8477,498.64705882
125,1967,1997,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,14286,840.35294118
126,1957,1989,2015,0,WHITE,EMERGENTOLOGIST,,,,,
127,1971,2005,,0,HISPAN,PHYSICIAN ASST II,2005,2020,16,6717,419.8125
128,1967,1998,,0,ASIAN,INTERNIST,2004,2020,17,14207,835.70588235
129,1977,2012,,1,WHITE,GASTROENTEROLOGIST,2012,2020,9,10094,1121.5555556
130,1968,2000,,0,ASIAN,GENERAL SURGEON,2004,2020,17,7999,470.52941176
131,1959,1990,,0,HISPAN,IM HOSPITALIST,2004,2014,11,7176,652.36363636
132,1947,1996,2011,0,WHITE,GASTROENTEROLOGIST,2004,2011,8,6702,837.75
133,1971,2002,2010,1,ASIAN,PHYSICIAN ASST II,2004,2010,7,2182,311.71428571
134,1982,2014,,1,ASIAN,INTERNIST,2014,2020,7,6637,948.14285714
135,1973,2007,,0,WHITE,IM HOSPITALIST,2007,2013,7,9913,1416.1428571
136,1972,1997,2019,1,WHITE,NURSE PRACTITIONER Y2,2005,2019,15,17098,1139.8666667
137,1975,2006,,0,ASIAN,GASTROENTEROLOGIST,2006,2020,15,11927,795.13333333
138,1975,2006,,0,ASIAN,IM HOSPITALIST,2006,2012,7,4847,692.42857143
139,1970,1997,2018,0,ASIAN,GASTROENTEROLOGIST,2006,2017,12,17020,1418.3333333
140,1968,1997,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2019,16,9160,572.5
141,1974,2008,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2006,2020,15,3606,240.4
142,1965,2010,,1,ASIAN,URGENT CARE SPECIALIST,2010,2020,11,12560,1141.8181818
143,1974,2008,2010,0,WHITE,RESIDENT PHYSICIAN,2008,2010,3,333,111
144,1983,2014,,0,WHITE,IM HOSPITALIST,2011,2020,10,581,58.1
145,1971,1999,,1,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,12801,753
146,1972,2002,,0,WHITE,INFECTIOUS DISEASE SPECIALIST,2004,2020,17,2062,121.29411765
147,1986,2012,2017,1,WHITE,RESIDENT PHYSICIAN,2012,2017,6,393,65.5
148,1947,1990,,0,WHITE,GENERAL PRACTITIONER,2004,2020,17,14512,853.64705882
149,1966,2005,,0,ASIAN,ENDOCRINOLOGIST,2005,2020,16,7713,482.0625
150,1961,2010,,0,ASIAN,GASTROENTEROLOGIST,2010,2020,11,11595,1054.0909091
151,1976,2008,2011,0,,,2008,2011,4,130,32.5
152,1965,2005,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2005,2020,16,6861,428.8125
153,1976,2010,,1,WHITE,GENERAL SURGEON,2007,2020,14,4670,333.57142857
154,1984,2019,,0,ASIAN,,2012,2017,6,275,45.833333333
155,1969,2000,,1,ASIAN,IM HOSPITALIST,2004,2009,6,4453,742.16666667
156,1977,2010,,0,WHITE,FAMILY PRACTICE SPECIALIST,2007,2020,14,12551,896.5
157,1969,2014,,0,HISPAN,URGENT CARE SPECIALIST,2011,2020,10,12312,1231.2
158,1988,,,0,,,2017,2020,4,252,63
159,1971,2004,,0,ASIAN,SURGICAL ONCOLOGIST,2004,2020,17,6548,385.17647059
160,1978,2009,,0,WHITE,FAMILY PRACTICE SPECIALIST,2009,2020,12,9684,807
161,1975,2001,,0,ASIAN,RADIOLOGIST INTERVENT,2007,2020,14,1323,94.5
162,1984,2014,2015,1,WHITE,INTERNIST,2014,2015,2,37,18.5
163,1974,2007,,0,WHITE,FAMILY PRACTICE SPECIALIST,2007,2020,14,14760,1054.2857143
164,1983,2013,2018,0,ASIAN,IM HOSPITALIST,,,,,
165,1964,1997,,0,ASIAN,INTERNIST,2004,2020,17,15322,901.29411765
166,1976,2017,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2017,2020,4,1257,314.25
167,1970,2006,,1,WHITE,INTERNIST,2006,2020,15,11557,770.46666667
168,1985,2017,,1,ASIAN,,2011,2016,6,432,72
169,1959,2005,,0,WHITE,PERINATOLOGIST,2005,2020,16,8565,535.3125
170,1974,2011,,0,ASIAN,IM HOSPITALIST,,,,,
171,1963,2007,,0,HISPAN,IM ONCOLOGY AND HEMATOLOGY,2007,2020,14,3308,236.28571429
172,1973,2011,,0,BLACK,GENERAL SURGEON,2011,2020,10,4795,479.5
173,1973,2006,,0,WHITE,COLORECTAL SURGEON,2008,2020,13,3632,279.38461538
174,1956,1989,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,13076,769.17647059
175,1973,2011,2015,1,ASIAN,INTERNIST,2011,2015,5,4595,919
176,1972,2015,,1,BLACK,FAMILY PRACTICE SPECIALIST,2015,2020,6,6899,1149.8333333
177,1970,2000,2009,1,BLACK,LVL III STAFF RN - CLIN,2006,2009,4,993,248.25
178,1957,2002,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,5019,295.23529412
179,1944,1975,,0,WHITE,INTERNIST,2004,2019,16,15929,995.5625
180,1970,2005,2012,0,HISPAN,FAMILY PRACTICE SPECIALIST,2005,2012,8,8280,1035
181,1965,2009,,1,ASIAN,EMERGENTOLOGIST,2015,2016,2,23,11.5
182,1972,2001,,1,BLACK,GENERAL SURGEON,2008,2020,13,2926,225.07692308
183,1956,1989,,0,WHITE,IM HOSPITALIST,2004,2013,10,2264,226.4
184,1975,2004,,1,ASIAN,INTERNIST,2004,2020,17,7585,446.17647059
185,1973,2006,,0,WHITE,INTERNIST,2006,2020,15,16007,1067.1333333
186,1949,1989,2015,0,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2014,11,16146,1467.8181818
187,1958,1986,,1,ASIAN,SURGERY GENERAL,2004,2020,17,5150,302.94117647
188,1958,1986,,0,ASIAN,PULMONOLOGIST,2004,2019,16,3571,223.1875
189,1978,2012,,0,,GASTROENTEROLOGIST,2012,2020,9,9252,1028
190,1964,1996,,1,WHITE,INTERNIST,2004,2020,17,7118,418.70588235
191,1970,2000,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,14339,843.47058824
