physid,PRVDR_SPCLTY,startyr,endyr
1,"SURGERY, GENERAL",2009,2011
2,INTERNAL MEDICINE,2009,2009
3,FAMILY MEDICINE,2009,2020
4,INTERNAL MEDICINE,2009,2019
5,FAMILY MEDICINE,2011,2020
6,INTERNAL MEDICINE,2009,2020
7,FAMILY MEDICINE,2009,2020
8,FAMILY MEDICINE,2009,2017
9,"SURGERY, COLON & RECTAL",2013,2020
10,INTERNAL MEDICINE,2009,2019
11,HEMATOLOGY AND ONCOLOGY,2016,2020
12,INTERNAL MEDICINE,2009,2020
13,FAMILY MEDICINE,2009,2020
14,INTERNAL MEDICINE,2011,2012
14,"SURGERY, GENERAL",2013,2013
15,INTERNAL MEDICINE,2009,2020
16,INTERNAL MEDICINE,2011,2020
17,FAMILY MEDICINE,2012,2019
17,INTERNAL MEDICINE,2009,2011
18,INTERNAL MEDICINE,2009,2020
19,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
19,INTERNAL MEDICINE,2009,2017
20,FAMILY MEDICINE,2009,2020
21,HEMATOLOGY AND ONCOLOGY,2016,2020
21,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
22,EMERGENCY MEDICINE,2009,2011
22,INTERNAL MEDICINE,2012,2020
23,REGISTERED NURSE,2009,2020
24,INTERNAL MEDICINE,2015,2017
25,INTERNAL MEDICINE,2010,2020
25,NEPHROLOGY,2009,2009
26,GASTROENTEROLOGY,2009,2014
27,INTERNAL MEDICINE,2011,2020
28,INTERNAL MEDICINE,2016,2020
29,INFECTIOUS DISEASES,2010,2020
30,INTERNAL MEDICINE,2015,2016
31,FAMILY MEDICINE,2009,2020
32,INTERNAL MEDICINE,2009,2011
33,INTERNAL MEDICINE,2009,2020
34,HEMATOLOGY AND ONCOLOGY,2016,2020
34,INTERNAL MEDICINE,2014,2015
35,FAMILY MEDICINE,2009,2020
36,PHYSICIAN ASSISTANT,2009,2020
37,EMERGENCY MEDICINE,2009,2020
38,EMERGENCY MEDICINE,2009,2020
39,FAMILY MEDICINE,2009,2020
40,INTERNAL MEDICINE,2009,2012
41,NURSE PRACTITIONER,2009,2012
42,INTERNAL MEDICINE,2009,2020
43,HEMATOLOGY AND ONCOLOGY,2016,2020
43,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
44,NURSE PRACTITIONER,2017,2020
44,REGISTERED NURSE,2011,2016
45,INTERNAL MEDICINE,2009,2012
46,INTERNAL MEDICINE,2013,2014
47,FAMILY MEDICINE,2012,2020
48,INTERNAL MEDICINE,2009,2020
49,GASTROENTEROLOGY,2015,2020
49,INTERNAL MEDICINE,2010,2010
50,FAMILY MEDICINE,2010,2014
51,EMERGENCY MEDICINE,2009,2020
52,INTERNAL MEDICINE,2009,2011
53,INTERNAL MEDICINE,2009,2020
54,INTERNAL MEDICINE,2009,2011
54,OBSTETRICS & GYNECOLOGY,2012,2020
55,FAMILY MEDICINE,2009,2020
56,INTERNAL MEDICINE,2009,2020
57,"SURGERY, GENERAL",2009,2020
58,"ONCOLOGY, GYNECOLOGIC",2010,2020
59,DERMATOLOGY,2009,2018
60,"SURGERY, GENERAL VASCULAR",2009,2020
61,FAMILY MEDICINE,2009,2020
62,EMERGENCY MEDICINE,2009,2020
63,HEMATOLOGY: INTERNAL MEDICINE,2009,2013
64,FAMILY MEDICINE,2009,2020
65,OBSTETRICS & GYNECOLOGY,2009,2012
66,INTERNAL MEDICINE,2009,2020
67,FAMILY MEDICINE,2009,2020
68,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2010
68,"SURGERY, NEUROLOGICAL",2011,2020
69,INTERNAL MEDICINE,2009,2020
70,INTERNAL MEDICINE,2010,2011
71,PHYSICAL MEDICINE & REHABILITATION,2009,2020
72,INTERNAL MEDICINE,2009,2020
73,INTERNAL MEDICINE,2009,2020
74,"SURGERY, GENERAL",2009,2020
75,INTERNAL MEDICINE,2009,2020
76,PHYSICIAN ASSISTANT,2009,2018
77,FAMILY MEDICINE,2009,2020
78,INTERNAL MEDICINE,2009,2020
79,INTERNAL MEDICINE,2012,2015
80,INTERNAL MEDICINE,2012,2013
81,INTERNAL MEDICINE,2009,2020
82,INTERNAL MEDICINE,2009,2020
83,PULMONARY DISEASES,2009,2020
84,INTERNAL MEDICINE,2009,2013
84,"SURGERY, COLON & RECTAL",2015,2020
84,"SURGERY, GENERAL",2014,2014
85,FAMILY MEDICINE,2009,2020
86,"SURGERY, GENERAL",2012,2015
87,FAMILY MEDICINE,2009,2020
88,FAMILY MEDICINE,2009,2020
89,UROLOGY,2009,2020
90,"SURGERY, GENERAL",2009,2020
91,"SURGERY, GENERAL",2009,2020
92,GASTROENTEROLOGY,2009,2020
93,EMERGENCY MEDICINE,2009,2020
94,INTERNAL MEDICINE,2016,2020
95,INTERNAL MEDICINE,2009,2020
96,FAMILY MEDICINE,2009,2020
97,"SURGERY, GENERAL",2009,2020
98,FAMILY MEDICINE,2009,2020
99,UROLOGY,2009,2020
100,GASTROENTEROLOGY,2009,2020
101,INTERNAL MEDICINE,2009,2020
102,GASTROENTEROLOGY,2009,2020
103,INTERNAL MEDICINE,2009,2020
104,CERTIFIED NURSE MIDWIFE,2009,2017
105,FAMILY MEDICINE,2009,2020
106,INTERNAL MEDICINE,2015,2020
107,INTERNAL MEDICINE,2011,2020
108,INTERNAL MEDICINE,2009,2020
109,NURSE PRACTITIONER,2015,2020
109,REGISTERED NURSE,2009,2014
110,"SURGERY, GENERAL",2011,2020
111,HOSPITALIST,2012,2013
111,INTERNAL MEDICINE,2009,2013
112,FAMILY MEDICINE,2017,2018
112,INTERNAL MEDICINE,2009,2020
113,INTERNAL MEDICINE,2009,2014
114,"SURGERY, GENERAL",2009,2020
115,INTERNAL MEDICINE,2009,2020
116,GASTROENTEROLOGY,2017,2020
117,"SURGERY, GENERAL",2009,2020
118,HEMATOLOGY AND ONCOLOGY,2016,2020
118,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
119,INTERNAL MEDICINE,2009,2020
120,INTERNAL MEDICINE,2009,2012
120,OBSTETRICS & GYNECOLOGY,2019,2019
120,"ONCOLOGY, GYNECOLOGIC",2020,2020
121,FAMILY MEDICINE,2011,2020
122,INTERNAL MEDICINE,2009,2020
123,GASTROENTEROLOGY,2012,2020
123,INTERNAL MEDICINE,2009,2011
124,FAMILY MEDICINE,2009,2020
125,FAMILY MEDICINE,2009,2020
126,EMERGENCY MEDICINE,2009,2015
127,PHYSICIAN ASSISTANT,2009,2020
128,INTERNAL MEDICINE,2009,2020
129,GASTROENTEROLOGY,2012,2020
129,INTERNAL MEDICINE,2010,2010
